"","nama_customer","sales_order","kubikasi_pemenuhan_m3","berat_pemenuhan_kg","tanggal_order","tanggal_po_expired"
"782","LOTTE SHOPPING CIMAHI","115131330",0.03445992,7.8,2022-12-01,1899-12-31
"783","LOTTE SHOPPING CIMAHI","115131331",0.05299992,10.036000008,2022-12-01,1899-12-31
"784","YOGYA SUNDA-P30044","115131445",0.01308,2.2272,2022-12-06,NA
"785","YOGYA SUNDA-P30044","115131487",0.005904,3.275004,2022-12-06,2022-12-09
"786","YOGYA SUNDA-P30044","115131488",0.0076,0.8285,2022-12-06,2022-12-09
"787","YOGYA SUNDA-P30044","115131489",0.21547512,146.282800008,2022-12-06,2022-12-09
"788","GRIYA PAHLAWAN-P30027","115131481",0.05376,38.12256,2022-12-06,2022-12-11
"789","YOGYA RIAU-P30043","115131450",0.23005296,53.579251,2022-12-06,NA
"790","YOGYA RIAU-P30043","115131452",0.32211612,67.236582012,2022-12-06,NA
"791","YOGYA RIAU-P30043","115131474",0.01872,2.29008,2022-12-06,2022-12-12
"792","YOGYA RIAU-P30043","115131493",0.02556,6.37848,2022-12-06,2022-12-11
"793","YOGYA RIAU-P30043","115131494",0.065127,34.68996,2022-12-06,2022-12-11
"794","YOGYA RIAU-P30043","115131495",0.0247,4.0167,2022-12-06,2022-12-11
"795","YOGYA RIAU-P30043","115131496",0.04655424,13.094496024,2022-12-06,2022-12-11
"796","YOGYA RIAU-P30043","115131497",0.06984,7.74984,2022-12-06,2022-12-11
"797","YOGYA RIAU-P30043","115131498",0.0304,3.314,2022-12-06,2022-12-11
"798","YOGYA RIAU-P30043","115131499",0.06696,37.07664,2022-12-06,2022-12-11
"799","YOGYA KEPATIHAN-P30040","115131490",0.0567385,12.745839001,2022-12-06,2022-12-11
"800","YOGYA KEPATIHAN-P30040","115131491",0.01794294,2.630022,2022-12-06,2022-12-11
"801","YOGYA KEPATIHAN-P30040","115131492",0.01788,1.92996,2022-12-06,2022-12-11
"802","GRIYA TAMAN KOPO INDAH-P30033","115131448",0.00247,0.40167,2022-12-06,NA
"803","YOGYA JUNCTION SUMBER SARI","115131479",0.0304,3.314,2022-12-06,2022-12-11
"804","YOGYA JUNCTION SUMBER SARI","115131480",0.00468,0.57252,2022-12-06,2022-12-09
"805","YOGYA JUNCTION SUMBER SARI","115131482",0.04352796,9.795,2022-12-06,2022-12-09
"806","YOGYA JUNCTION SUMBER SARI","115131483",0.17857902,31.999641,2022-12-06,2022-12-09
"807","YOGYA JUNCTION SUMBER SARI","115131484",0.10026762,28.066870023,2022-12-06,2022-12-12
"808","YOGYA JUNCTION SUMBER SARI","115131485",0.0648,7.4349,2022-12-06,2022-12-09
"809","YOGYA JUNCTION SUMBER SARI","115131486",0.02299512,16.296,2022-12-06,2022-12-12
"810","YOGYA JUNCTION SUMBER SARI","115131500",0.004428,2.456253,2022-12-06,2022-12-12
"811","YOGYA JUNCTION SUMBER SARI","115131501",0.0229866,11.8125,2022-12-06,2022-12-12
"812","YOGYA JUNCTION SUMBER SARI","115131502",0.01531512,10.892080008,2022-12-06,2022-12-12
"813","YOGYA KOPO MAS-P30041","115131513",0.05766855,13.140517,2022-12-06,2022-12-12
"814","YOGYA KOPO MAS-P30041","115131514",0.007326,3.292671,2022-12-06,2022-12-12
"815","YOGYA KOPO MAS-P30041","115131515",0.03036699,4.214031,2022-12-06,2022-12-12
"816","YOGYA KOPO MAS-P30041","115131516",0.0182,5.2608,2022-12-06,2022-12-12
"817","YOGYA KOPO MAS-P30041","115131517",0.01899,2.26998,2022-12-06,2022-12-12
"818","YOGYA KOPO MAS-P30041","115131518",0.0076,0.8285,2022-12-06,2022-12-12
"819","YOGYA KOPO MAS-P30041","115131519",0.01531512,10.871000004,2022-12-06,2022-12-12
"820","YOMART GEDEBAGE","115131411",0.13666896,18.2382,2022-12-05,NA
"821","YOMART GEDEBAGE","115131415",0.01788,1.92996,2022-12-05,NA
"822","YOMART GEDEBAGE","115131462",0.18873132,26.209870008,2022-12-06,2022-12-10
"823","YOMART GEDEBAGE","115131463",0.04668224,12.785968,2022-12-06,2022-12-10
